Date,In,Out,Total,YTD Hours:,=E2
04/29/2019,18:55:46,23:55:46,05:00:00,=SUM(D2:D118)
05/02/2019,11:22:51,11:49:34,0:26:42,,
05/02/2019,14:48:14,16:55:45,2:7:30,,
05/02/2019,17:09:50,18:04:34,0:54:44,,
05/06/2019,13:25:03,20:39:58,7:14:55,,
05/08/2019,08:08:14,12:10:18,4:2:4,,
05/08/2019,13:07:53,17:10:25,4:2:31,,
05/09/2019,10:08:03,11:29:04,1:21:0,,
05/09/2019,15:43:57,16:08:18,0:24:21,,
05/10/2019,11:26:27,17:44:22,6:17:54,,
05/10/2019,20:01:41,20:47:26,0:45:44,,
05/13/2019,12:54:38,18:52:45,5:58:6,,
05/15/2019,14:36:35,20:33:49,5:57:14,,
05/16/2019,10:37:44,11:20:45,0:43:0,,
05/16/2019,15:02:53,16:04:32,1:1:39,,
05/16/2019,17:58:40,21:14:55,3:16:14,,
